startingAirport,destinationAirport,avg_travel_distance_no_stops,avg_travel_duration_no_stops,avg_travel_distance_with_stops,avg_travel_duration_with_stops
SFO,CLT,2292.6,309.13,2687.72,609.5
SFO,DEN,954.05,156.59,1335.2,439.64
SFO,DFW,1468.26,216.37,1885.51,494.15
SFO,DTW,2083.48,273.6,2511.97,577.06
SFO,EWR,2566.02,333.16,2781.82,590.41
SFO,IAD,2426.29,309.91,2686.14,597.73
SFO,JFK,2566.0,343.04,2899.13,628.66
SFO,LAX,340.97,91.92,974.67,463.44
SFO,LGA,2797.94,615.13,2797.94,615.13
SFO,MIA,2582.54,338.54,3083.41,655.42
SFO,OAK,851.93,429.0,851.93,429.0
SFO,ORD,1847.36,259.46,2195.89,536.34
SFO,PHL,2516.65,329.57,2747.35,601.07
